Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
289,10213,2896,0.592110112,0.278228031,0.988833747,0.275121266
290,9330,2782,0.538058479,0.290425258,0.986386139,0.286471449
291,9474,2833,0.637080702,0.292896492,0.98313253,0.28795607
292,9714,1958,0.534406725,0.259402839,0.986220472,0.25582839
293,9706,1383,0.591946977,0.246512904,0.991202346,0.244344168
294,9954,1203,0.541167521,0.258446584,0.987138264,0.255122512
295,12283,2970,0.610490652,0.275053026,0.976744186,0.268656444
296,11291,1428,0.64640533,0.212801675,0.967105263,0.20580162
297,10618,1569,0.527151428,0.258640067,0.980295567,0.253543711
298,10244,637,0.501334963,0.167716814,0.953271028,0.15987958
299,12490,3344,0.462759025,0.26129966,0.985125858,0.257413052
300,10584,1043,0.50648526,0.209862944,0.96347032,0.202196718
301,11541,3070,0.634240725,0.292742711,0.984427141,0.28818387
302,11560,2076,0.473484472,0.263912903,0.987226277,0.260541753
303,11274,1053,0.612936305,0.218412412,0.97826087,0.213664316
304,8747,1515,0.498846824,0.241523616,0.978142077,0.236244412
305,12120,1461,0.494362764,0.228475901,0.979041916,0.223687484
306,11979,1225,0.536392823,0.241480916,0.972972973,0.234954405
307,10459,1801,0.542193676,0.268049158,0.98757764,0.264719354
308,10942,2690,0.538369824,0.291820083,0.985987261,0.287730884
309,8937,535,0.46911595,0.194382094,0.990384615,0.192513035
310,10811,981,0.484216733,0.207769099,0.980392157,0.203695195
311,11361,2908,0.566927133,0.289459188,0.985748219,0.285333879
312,10552,2398,0.575530944,0.25934314,0.982315113,0.254756686
313,12280,2392,0.526275143,0.254571435,0.980295567,0.249555249
314,9761,2631,0.620277803,0.29750964,0.982120051,0.292190183
315,11061,2655,0.502405827,0.283907625,0.980106101,0.278259595
316,8042,1276,0.593061002,0.238199449,0.970394737,0.231147491
317,11234,2543,0.534230267,0.258716333,0.990881459,0.256357217
318,9911,2518,0.56427348,0.277597953,0.982832618,0.272832323
319,9845,1144,0.606364378,0.229858947,0.965779468,0.221993051
320,11840,3384,0.525162788,0.283376657,0.989572471,0.280421738
321,8006,1306,0.576678435,0.270103112,0.971671388,0.262451466
322,12273,3288,0.610910207,0.258498271,0.984705882,0.254544768
323,10807,2100,0.589850143,0.245647803,0.986434109,0.242315372
324,9094,476,0.506612921,0.159632761,0.960526316,0.153331467
325,9700,1621,0.504438714,0.246058283,0.977443609,0.240508097
326,8856,1012,0.613336334,0.227076291,0.97826087,0.22213985
327,8146,2176,0.541749626,0.299498972,0.98006135,0.293527367
328,11695,2616,0.517804466,0.280114243,0.984993179,0.275910619
329,10280,1101,0.550457464,0.20517299,0.982300885,0.20154161
330,8445,1777,0.453264772,0.267175792,0.981052632,0.262113514
331,10130,1965,0.592895212,0.243208459,0.987447699,0.240155633
332,11998,2027,0.541888534,0.246602943,0.984,0.242657296
333,10765,850,0.646778665,0.196444419,0.976047904,0.191739164
334,9056,809,0.565143664,0.242162821,0.964285714,0.233514149
335,12222,795,0.6032773,0.163468772,0.969230769,0.158438964
336,8073,634,0.566001168,0.187604869,0.966386555,0.181298823
337,12389,3377,0.614678952,0.264710209,0.986577181,0.261157052
338,12463,1066,0.471333989,0.234326497,0.96,0.224953437
339,11982,1318,0.451967635,0.225992895,0.973154362,0.219925972
340,8793,2393,0.481874032,0.278656594,0.986506747,0.27489661
341,10986,974,0.55946646,0.20411739,0.979899497,0.200014528
342,8852,1771,0.559032925,0.260219129,0.986984816,0.256832329
343,9981,753,0.569275839,0.217597455,0.951219512,0.206982945
344,9421,2715,0.496051347,0.285407571,0.985806452,0.281356625
345,10103,1426,0.572273318,0.218749127,0.977564103,0.213841295
346,11271,642,0.456957655,0.20559755,0.954545455,0.196252206
347,10979,1861,0.561411218,0.256275608,0.972746331,0.249291158
348,12186,2059,0.612213155,0.234954704,0.977272727,0.229614825
349,12253,2285,0.593278954,0.253764585,0.974137931,0.247201708
350,11055,1884,0.501416048,0.248382957,0.987179487,0.24519856
351,9183,566,0.566725702,0.18899497,0.981308411,0.185462354
352,9400,599,0.533001571,0.191872904,0.973913043,0.186867524
353,9937,1929,0.634301438,0.285559493,0.974591652,0.278303898
354,12405,2061,0.573750141,0.256658544,0.982986767,0.252291952
355,11869,2208,0.59357353,0.241362859,0.983114447,0.237287314
356,12359,1381,0.528027107,0.22287763,0.967532468,0.215641343
357,11621,1199,0.468327299,0.243344355,0.979452055,0.238344128
358,10249,1308,0.607157031,0.252184752,0.978787879,0.246835379
359,12448,2796,0.635832346,0.258851361,0.98480663,0.254918536
360,10672,1702,0.540992736,0.278449155,0.970464135,0.270224919
361,10328,1007,0.469561064,0.224294037,0.977876106,0.21933178
362,8463,963,0.483765164,0.2450144,0.983050847,0.240861613
363,9685,968,0.592652922,0.217832747,0.966824645,0.210606069
364,9909,2086,0.608263907,0.260199796,0.97053407,0.252532767
365,11029,2148,0.591431172,0.262953252,0.978761062,0.257368404
366,8309,1288,0.525427808,0.250684227,0.984520124,0.246803666
367,9354,2561,0.489683279,0.302955849,0.981958763,0.297490151
368,8341,938,0.477622088,0.215142734,0.97029703,0.208752356
369,10187,1599,0.454280016,0.244470488,0.974424552,0.238218046
370,12360,3694,0.57366316,0.302355975,0.980304387,0.296400889
371,9360,478,0.507443569,0.181683058,0.977011494,0.177506436
372,8526,2177,0.552397545,0.295307393,0.975116641,0.287959153
373,8041,1018,0.504784256,0.269969577,0.985454545,0.266042747
374,8419,1383,0.566815582,0.250823006,0.988472622,0.247931674
375,10294,2079,0.463235105,0.250590232,0.984644914,0.246742397
376,8262,2119,0.462549276,0.284066453,0.980066445,0.278403998
377,8085,1487,0.488282365,0.262103349,0.982051282,0.25739893
378,10423,601,0.500103599,0.197718637,0.932773109,0.184426627
379,9018,555,0.522465818,0.208949286,0.974137931,0.203545425
380,8054,661,0.635066039,0.207225341,0.97080292,0.201174966
381,12329,1171,0.620035896,0.222873919,0.965517241,0.215188612
382,10425,703,0.488906684,0.216047744,0.973684211,0.210362277
383,8671,2042,0.470454613,0.292343443,0.979899497,0.286467193
384,10308,2402,0.594618373,0.298908995,0.983286908,0.293913302
385,10627,2074,0.458900214,0.26708106,0.980144404,0.261778007
386,10296,3037,0.522943142,0.267686653,0.987699877,0.264394074
387,12283,2110,0.621581384,0.24917106,0.982889734,0.244907677
388,12131,3606,0.538989088,0.315831294,0.985074627,0.311117394
389,10023,2243,0.57588689,0.270077577,0.981848185,0.265175179
390,8548,822,0.47675939,0.204200962,0.964285714,0.19690807
391,8783,2443,0.497676513,0.283567167,0.988455988,0.280293664
392,11998,722,0.510268982,0.19939374,0.972222222,0.193855025
393,10111,1702,0.587736787,0.269058542,0.973799127,0.262008974
394,10988,1291,0.591853068,0.240007305,0.958064516,0.229942482
395,8803,890,0.568909439,0.225601033,0.990049751,0.223356246
396,8747,1708,0.546251331,0.268120967,0.986899563,0.264608465
397,12077,2875,0.472851304,0.276817331,0.983668342,0.272296445
398,11690,1966,0.643986976,0.244600152,0.981288981,0.240023434
399,12288,1086,0.582152458,0.212593913,0.974025974,0.207071993
400,10085,632,0.471308173,0.185109675,0.965811966,0.178781139
401,9290,2584,0.550629497,0.306005689,0.988621997,0.302523955
402,8253,1549,0.468894692,0.26659862,0.975786925,0.260143448
403,8660,1916,0.604923374,0.266605186,0.990215264,0.263996525
404,11909,699,0.51564043,0.191477801,0.947761194,0.181475229
405,9152,984,0.541304617,0.215360804,0.971698113,0.209265687
406,9285,2296,0.52904858,0.273510113,0.99044586,0.270896959
407,9837,662,0.474971736,0.197814726,0.977099237,0.193284618
408,8549,1073,0.545210721,0.25433542,0.967032967,0.245950736
409,8375,860,0.49375504,0.192817365,0.987951807,0.190494264
410,10971,2487,0.556695861,0.247243561,0.985365854,0.243625363
411,8085,512,0.532015849,0.210681762,0.944444444,0.19897722
412,10963,1608,0.572691196,0.264274384,0.983529412,0.25992163
413,10748,1421,0.614974662,0.258172747,0.975476839,0.251841536
414,8127,2138,0.479883191,0.294612913,0.984126984,0.289936518
415,11230,2774,0.528000879,0.289382167,0.97633873,0.282535018
416,8102,1831,0.517606464,0.278498544,0.988235294,0.275222091
417,11784,3062,0.456984506,0.273301694,0.983273596,0.268730339
418,9172,486,0.48851846,0.207652502,0.95049505,0.197372675
419,11658,707,0.479548243,0.192115907,0.948529412,0.182227588
420,8007,1198,0.630663116,0.293754619,0.960227273,0.282071197
421,9818,1879,0.467517562,0.267084582,0.978087649,0.261232131
