Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
160,11318,1401,0.495536203,0.197588123,0.985559567,0.194734865
161,12458,3724,0.59530082,0.295080225,0.975432211,0.287830757
162,8802,1090,0.502736379,0.224614546,0.975510204,0.219113782
163,9791,1421,0.482240545,0.251885259,0.972067039,0.244849358
164,10622,1502,0.53266147,0.227670891,0.976608187,0.222345256
165,10911,2991,0.583212907,0.290840781,0.985057471,0.286494884
166,9856,760,0.633461323,0.220851519,0.976190476,0.215593149
167,11418,2426,0.529120957,0.260476511,0.985759494,0.256767193
168,11959,2188,0.533291429,0.248572716,0.979779412,0.24354643
169,9242,2615,0.593074052,0.298995139,0.97826087,0.292495245
170,8394,650,0.58163622,0.196810868,0.984375,0.193735698
171,9704,1307,0.503556234,0.247003036,0.978328173,0.241650029
172,11914,1001,0.465246573,0.216608426,0.986175115,0.213613839
173,11536,2474,0.465337835,0.260707294,0.976744186,0.254644334
174,8428,1833,0.576263438,0.269411425,0.987854251,0.266139221
175,8583,2553,0.544844583,0.30669441,0.988505747,0.303169187
176,9401,866,0.620743568,0.237642809,0.970873786,0.230721174
177,8359,501,0.591891244,0.187486305,0.968085106,0.1815027
178,11822,2823,0.60221799,0.270617368,0.972513089,0.263178932
179,11318,3036,0.599634004,0.281237557,0.985948478,0.277285741
180,10401,657,0.508725008,0.197653752,0.976923077,0.193092512
181,11518,3001,0.499541284,0.271157216,0.995085995,0.269824748
182,10439,2831,0.523074133,0.297398091,0.983372922,0.292453229
183,11302,2917,0.513415804,0.289673795,0.989349112,0.286588512
184,8972,1578,0.602519445,0.252694732,0.987468672,0.249528132
185,9630,904,0.470876356,0.247746161,0.982142857,0.243322123
186,12409,3105,0.585565831,0.296257115,0.981521739,0.290782799
187,9391,2118,0.527659994,0.260575406,0.989130435,0.257743064
188,8718,1404,0.452726717,0.2755359,0.987080103,0.271976005
189,11760,2145,0.600362168,0.250299624,0.977653631,0.244706337
190,8343,2257,0.461670004,0.261846867,0.974619289,0.255201007
191,9015,1086,0.582014711,0.238338044,0.976833977,0.232816699
192,9008,1882,0.493240479,0.289449931,0.981651376,0.284138923
193,10190,2030,0.451000675,0.26353882,0.981308411,0.258612861
194,10269,2586,0.571512261,0.270587897,0.982857143,0.265949248
195,8974,2223,0.462648754,0.272132811,0.980165289,0.266735135
196,10077,1168,0.594241817,0.23614982,0.97826087,0.231016128
197,9103,2469,0.501003171,0.286713003,0.983050847,0.281853461
198,10631,2149,0.546653982,0.273574505,0.988095238,0.270317666
199,9849,1350,0.450407359,0.23999019,0.978395062,0.234805216
200,11814,1394,0.463970931,0.228779325,0.978056426,0.223759089
201,11397,1445,0.615690186,0.240799223,0.982758621,0.236647512
202,10457,2321,0.606527184,0.256324771,0.983193277,0.252016792
203,9653,1051,0.647002264,0.240559722,0.976284585,0.234854749
204,9210,1306,0.592782984,0.248827501,0.981538462,0.244233762
205,8405,1699,0.553769053,0.263601398,0.977678571,0.257717438
206,12285,3133,0.54890772,0.269314281,0.986966825,0.26580426
207,8385,635,0.54893444,0.240864362,0.980392157,0.236141531
208,12476,2304,0.559979004,0.247733808,0.987740806,0.244696791
209,8531,1835,0.605800692,0.289347037,0.983050847,0.28444285
210,9141,769,0.586390061,0.233855555,0.972222222,0.227359567
211,12224,3086,0.564988166,0.295191538,0.985729967,0.290979145
212,8450,870,0.646732407,0.220684897,0.963541667,0.212639093
213,9263,2547,0.513389885,0.304578164,0.985824742,0.30026069
214,8283,1527,0.625266749,0.258604362,0.979746835,0.253366805
215,8453,1982,0.458254622,0.279000823,0.992766727,0.276982734
216,9004,2354,0.599963544,0.28841767,0.979381443,0.282470914
